codingid,coderid,manifestoid,sentenceid,code,scale,party,year,source,sentence_text,sentence_context,uid
37272,Pablo,Lab 2001,1120001251,NA,None,Labour,2001,Experts,and we will seek to extend the very best in culture and sport to all.,"We will build on our success in primary schools to overhaul secondary schools we will invest new resources and empower doctors and nurses to transform health services AND WE WILL SEEK TO EXTEND THE VERY BEST IN CULTURE AND SPORT TO ALL. Third, we seek to modernise the welfare state. The benefits system will be restructured around work",UID3574
54541,Iulia,LD 2001,1110005031,NA,None,Liberal Democrats,2001,Experts,"Roads. For many people, roads are the backbone of the country' transport.","Modernise the London Underground. We believe that the best way to modernise the Underground, without compromising safety, is through a not-for-profit, public interest company funded through bonds. ROADS. FOR MANY PEOPLE, ROADS ARE THE BACKBONE OF THE COUNTRY' TRANSPORT. But there has been too much focus on building new ones and not enough attention paid to the roads that already exist. We will:  Boost the repair and maintenance of roads.",UID2333
370517036,1.68e+07,Con 1987,10004681,1,Economic,Conservatives,1987,Crowd,"relaxed advertising controls on accountants, solicitors, stockbrokers and vets, and permitted greater fee competition for architects and surveyors","removed the monopoly on conveyancing of houses in England and Wales removed the opticians' monopoly, making it easier and cheaper to buy spectacles RELAXED ADVERTISING CONTROLS ON ACCOUNTANTS, SOLICITORS, STOCKBROKERS AND VETS, AND PERMITTED GREATER FEE COMPETITION FOR ARCHITECTS AND SURVEYORS increased competition on air routes within the UK and between certain European countries, which has resulted in cheaper fares, a more responsive service and greater choice of carriers for the passenger deregulated telecommunications, so that customers can now choose between suppliers when buying telephones and private exchanges, and business can choose between two alternative telecommunications networks",UID18038
326878331,1.86e+07,Con 1992,1070014511,-1,Economic,Conservatives,1992,Crowd,"We will continue to target help through the Rural Development Commission, and ask the RDC to review the Rural Development Areas to ensure that its efforts are targeted on the areas of most need.","We will introduce a balanced package of measures, including decommissioning and controls on fishing activity, to conserve fish and safeguard the future of the industry. RURAL JOBS AND SERVICES. Changes in agriculture and other traditional industries will affect employment opportunities in the countryside. WE WILL CONTINUE TO TARGET HELP THROUGH THE RURAL DEVELOPMENT COMMISSION, AND ASK THE RDC TO REVIEW THE RURAL DEVELOPMENT AREAS TO ENSURE THAT ITS EFFORTS ARE TARGETED ON THE AREAS OF MOST NEED. We are committed to developing tourism in ways which provide all-year-round jobs and bring benefit to less well-known parts of our countryside, without damaging the environment. We have recently published new planning policy guidance which makes it clear how the countryside can benefit from new businesses and jobs, if the location and design of development are handled with sensitivity.",UID14833
45202,Iulia,LD 2001,1110009451,-1,Economic,Liberal Democrats,2001,Experts,We will therefore collect data on price variations between regions so that measures can be effectively targeted.,"Establish effective measurement of living costs throughout the country. We want to ensure that public service workers like teachers and nurses are properly supported when they live in expensive areas. WE WILL THEREFORE COLLECT DATA ON PRICE VARIATIONS BETWEEN REGIONS SO THAT MEASURES CAN BE EFFECTIVELY TARGETED. Setting You Free. Lessen central controls on fishing by reforming the Common Fisheries Policy to promote local management of fisheries. Reduce red tape for farmers through single Countryside Management Contracts to manage farm payments, and an Agricultural Ombudsman to tackle maladministration.",UID5847
NA,105,Lab 1997,60002291,1,Social,Labour,1997,SemiExperts,Schools suffer from unruly and disruptive pupils.,"National guidelines will establish minimum periods for homework for primary and secondary school pupils. Teachers will be entitled to positive support from parents to promote good attendance and sound discipline. SCHOOLS SUFFER FROM UNRULY AND DISRUPTIVE PUPILS. Exclusion or suspension may sometimes be necessary. We will, however, pilot new pupil referral units so that schools are protected but these pupils are not lost to education or the country.",UID15906
68563,Alex,Lab 2001,1120002201,NA,None,Labour,2001,Experts,"Labour's ten-year goal is a maximum waiting time of three months as we become a healthier nation with fast, high-quality treatment, free at the point of use.","The NHS needs radical reform if it is to be designed around the needs of patients. Investment is vital but not enough. LABOUR'S TEN-YEAR GOAL IS A MAXIMUM WAITING TIME OF THREE MONTHS AS WE BECOME A HEALTHIER NATION WITH FAST, HIGH-QUALITY TREATMENT, FREE AT THE POINT OF USE. We will now:  decentralise power to give local Primary Care Trusts control of 75 per cent of NHS funding, and cut by two thirds the number of health authorities reform the appointments system so that by the end of 2005 every hospital appointment is booked for the convenience of the patient",UID1177
42396,Sebestian,Lab 2005,1150003701,NA,None,Labour,2005,Experts,Within the existing allocation of resources our aim is that at least 200 Academies will be established by 2010 in communities where low aspirations and low performance are entrenched.,"Seventeen of these independent non-selective schools are now open within the state system their results are improving sharply, and 50 more are in the pipeline. WITHIN THE EXISTING ALLOCATION OF RESOURCES OUR AIM IS THAT AT LEAST 200 ACADEMIES WILL BE ESTABLISHED BY 2010 IN COMMUNITIES WHERE LOW ASPIRATIONS AND LOW PERFORMANCE ARE ENTRENCHED. We will encourage more small schools and boarding schools as ways of helping the most disadvantaged children. We will make sure schools in deprived areas receive the resources they need.",UID18657
370524361,2.00e+07,Lab 2001,1120017431,0,Social,Labour,2001,Crowd,Health.,Interest rates. Education. HEALTH. Crime. The choice at this election is clear - to make more progress or to dismantle the foundations laid since 1997.,UID18490
27337,Iulia,LD 1992,1080001101,-2,Economic,Liberal Democrats,1992,Experts,"Negatives. Overall, government funding of education is inadequate.","Some of the Government's changes have been for the better. The idea of Local Management of Schools has, in some places, produced school management of imagination and quality. NEGATIVES. OVERALL, GOVERNMENT FUNDING OF EDUCATION IS INADEQUATE. The proportion of Britain's gross domestic product devoted to education fell from 5.6% in 1981-82 to 5.0% in 1990-91. The number of secondary school teachers fell from 224,618 in 1986 to 198,030 in 1991.",UID9210
370528385,1.57e+07,LD 2010,1170003541,-1,Economic,Liberal Democrats,2010,Crowd,Liberal Democrats believe that we can improve the NHS,"The money saved will be used to cover the course fees for adults taking a first Level 3 qualification (such as A-levels or an adult apprenticeship), allowing a significant reduction in the overall budget. Protecting and improving our NHS.   We are proud of the NHS - it's built on the basic British principle of fairness. LIBERAL DEMOCRATS BELIEVE THAT WE CAN IMPROVE THE NHS in fact, we believe it's our duty to do so at a time like this when budgets are tight. We all know that too much precious NHS money is wasted on bureaucracy, and doctors and nurses spend too much time trying to meet government targets.",UID2243
204714277,1.19e+07,Con 1997,40007741,1,Social,Conservatives,1997,Crowd,If successful we will consider extending them nationwide.,"We have given the courts the power to impose electronically monitored curfews on 10 to 15 year old offenders. We will introduce pilots to test their effectiveness. IF SUCCESSFUL WE WILL CONSIDER EXTENDING THEM NATIONWIDE. Catching, Convicting and Punishing. We back the police every inch of the way. There are now about 16,000 more police officers - and over 18,000 more civilians helping them - than when we took office.",UID11173
37106,Sebestian,Lab 2001,1120011731,NA,None,Labour,2001,Experts,"We have been prepared to be tough - preventing fraud by tightening gateways, sharpening sanctions on fraudsters, and now with 'two-strikes-and-you're-out'.","We want those entitled to benefits to take up their rights to claim them. Fraud undermines confidence in the welfare system, so we are committed to reduce it. WE HAVE BEEN PREPARED TO BE TOUGH - PREVENTING FRAUD BY TIGHTENING GATEWAYS, SHARPENING SANCTIONS ON FRAUDSTERS, AND NOW WITH 'TWO-STRIKES-AND-YOU'RE-OUT'. We have saved £1 billion in fraud and error over the course of the Parliament by tightening up the way we administer income support. The introduction of Automated Credit Transfer will save a further £100 million per year.",UID11877
NA,103,Lab 1987,30003571,-2,Social,Labour,1987,SemiExperts,We will strengthen the law on public order to combat racial hatred and take firm action against the growing menace of racial attacks.,"Our policies for employment, education, housing, health care, local government and much else will clearly be of benefit to people of the ethnic minorities as they will be to the whole community. In addition, Labour will take firm action to promote racial equality, to attack racial discrimination and to encourage contract compliance and other positive means of ensuring equity for all citizens. WE WILL STRENGTHEN THE LAW ON PUBLIC ORDER TO COMBAT RACIAL HATRED AND TAKE FIRM ACTION AGAINST THE GROWING MENACE OF RACIAL ATTACKS. We will make prosecution easier in order to encourage the reporting of offences. Labour's policy of firm and fair immigration control will ensure that the law does not discriminate on the basis of race, colour or sex.",UID17064
NA,213,LD 1987,20007821,NA,None,Liberal Democrats,1987,SemiExperts,"Britain cannot defend itself or the values of western democracy alone, just as it cannot achieve international disarmament solely by its own actions: both the other Parties have chosen in different ways to ignore the reality that our defence and disarmament efforts are interdependent with those of other countries.","The Alliance is determined to combine sound defence against any possible threat with determined efforts to reduce and even remove the massive nuclear stockpile, which causes increasing anxiety to the peoples of the world. New opportunities for arms agreements are being opened up by the changed priorities of a new Soviet leadership: we cannot afford to assume that this new and welcome trend in Moscow will continue unchecked, but at this delicate and hopeful stage it is vital that we have a British Government determined to seize the opportunity to drive sensible bargains on arms control which are secure because they are seen on each side as being realistic. BRITAIN CANNOT DEFEND ITSELF OR THE VALUES OF WESTERN DEMOCRACY ALONE, JUST AS IT CANNOT ACHIEVE INTERNATIONAL DISARMAMENT SOLELY BY ITS OWN ACTIONS: BOTH THE OTHER PARTIES HAVE CHOSEN IN DIFFERENT WAYS TO IGNORE THE REALITY THAT OUR DEFENCE AND DISARMAMENT EFFORTS ARE INTERDEPENDENT WITH THOSE OF OTHER COUNTRIES. The Alliance is committed to NATO, and we accept the obligations of NATO, including the presence of Allied bases and nuclear weapons on British soil on the basis of clear arrangements for a British veto over their operations including where appropriate, dual-key systems we believe it is essential to strengthen the European contribution to NATO.",UID15565
342180576,1.98e+07,Lab 1997,60009261,NA,None,Labour,1997,Crowd,"The government has tabled proposals which include a new devolved legislative body, as well as cross-border co-operation and continued dialogue between the two governments.","Northern Ireland. Labour's approach to the peace process has been bipartisan. We have supported the recent agreements between the two governments - the Anglo-Irish Agreement, the Downing Street Declaration and the Framework Document. THE GOVERNMENT HAS TABLED PROPOSALS WHICH INCLUDE A NEW DEVOLVED LEGISLATIVE BODY, AS WELL AS CROSS-BORDER CO-OPERATION AND CONTINUED DIALOGUE BETWEEN THE TWO GOVERNMENTS. There will be as great a priority attached to seeing that process through with Labour as under the Conservatives, in co-operation with the Irish government and the Northern Ireland parties. We will expect the same bipartisan approach from a Conservative opposition.",UID19247
341604453,2056455,LD 1987,20007391,1,Social,Liberal Democrats,1987,Crowd,"We will further decentralise funding for the arts, channelling it through enhanced regional arts associations and the Scottish and Welsh Arts Councils","To help achieve this aim we will double arts funding within the lifetime of one Parliament. The Alliance will set up a unified Ministry, headed by a Cabinet Minister, to have responsibility for the arts, broadcasting, films, publishing, leisure and recreation - these activities are at present scattered amongst Ministries within which they are of minor significance and are subject to control rather than enhancement WE WILL FURTHER DECENTRALISE FUNDING FOR THE ARTS, CHANNELLING IT THROUGH ENHANCED REGIONAL ARTS ASSOCIATIONS AND THE SCOTTISH AND WELSH ARTS COUNCILS Wherever possible we will replace grants with endowment trusts providing greater stability and independence for the arts with a mix of public and private funding We will co-operate with artists to achieve better deals through stronger copyright and public lending right laws",UID16674
370517243,1.93e+07,LD 1987,20004841,NA,None,Liberal Democrats,1987,Crowd,We will establish clear criteria of eligibility for special payments and a right of independent appeal and will ensure that the very poor receive extra money to cover heating costs,LONG-TERM UNEMPLOYED. We will establish a new premium under the income support scheme for the long-term unemployed without dependent children of £3.50 a week for a single person and £5 for a couple SOCIAL FUND. We will not place cash limits on the Social Fund and we will replace loans with grants. WE WILL ESTABLISH CLEAR CRITERIA OF ELIGIBILITY FOR SPECIAL PAYMENTS AND A RIGHT OF INDEPENDENT APPEAL AND WILL ENSURE THAT THE VERY POOR RECEIVE EXTRA MONEY TO COVER HEATING COSTS HOUSING BENEFIT. We will not impose a 20% rates charge on those with very low incomes as the Conservatives plan to do from April 1988. We will not implement the Conservatives' proposed cuts in the funding of Housing Benefit.,UID6987
65004,Iulia,LD 1997,50003001,NA,None,Liberal Democrats,1997,Experts,We will: Promote animal welfare.,We will press for comprehensive and understandable EU-wide ecologically friendly and energy efficient labelling schemes. Promoting animal welfare. The way a society treats animals is a measure of its civilisation. WE WILL: PROMOTE ANIMAL WELFARE. We will set up a compulsory national dog registration scheme. We will halt the trade in endangered species as pets.,UID17961
370529961,1.40e+07,Lab 2010,1180010751,NA,None,Labour,2010,Crowd,Faith in our political institutions was seriously eroded by the abuses of the expenses system.,"Stronger local government, with increased local democratic scrutiny over all local public services. We face a deep crisis of trust in politics following the parliamentary expenses scandal. FAITH IN OUR POLITICAL INSTITUTIONS WAS SERIOUSLY ERODED BY THE ABUSES OF THE EXPENSES SYSTEM. Only radical change can begin to renew our democracy. Cleaning up politics. We acted swiftly to clean up politics by creating an Independent Parliamentary Standards Authority (IPSA) to set pay and pensions for MPs, as well as their allowances.",UID6530
334666559,1.81e+07,LD 1997,50002341,0,Economic,Liberal Democrats,1997,Crowd,"Cut VAT and taxes on jobs, and make up the difference by taxing pollution instead.","This will help reduce global warming, cut air pollution and prevent waste. Our targets include cutting carbon dioxide emissions (the main cause of climate change) by 30 per cent from the 1990 level over the next 15 years. CUT VAT AND TAXES ON JOBS, AND MAKE UP THE DIFFERENCE BY TAXING POLLUTION INSTEAD. This will help create more jobs and a better standard of living. Adopt a Green Action Programme.",UID8443
341604228,2.08e+07,LD 1987,20006721,1,Economic,Liberal Democrats,1987,Crowd,We will give the elderly and disabled more opportunities to move to more suitable housing or to adapt their present homes,"We will give tenants more control over their environment and more choice We will provide more choices for private tenants WE WILL GIVE THE ELDERLY AND DISABLED MORE OPPORTUNITIES TO MOVE TO MORE SUITABLE HOUSING OR TO ADAPT THEIR PRESENT HOMES We will stop housing problems from restricting economic opportunities - it is no use getting on your bike to find work if the only available jobs are in places where there is no affordable housing accommodation We will require each housing authority to draw up a housing strategy to determine what are the areas of need and how they can best be met working with voluntary organisation, housing associations, building societies and the private sector, as Alliance groups on local councils are already doing",UID8330
5170,Mik,LD 2001,1110001601,NA,None,Liberal Democrats,2001,Experts,Children from poorer families have been particularly ill-served.,Abolish university tuition fees. Britain has been held back by under-investment in education. CHILDREN FROM POORER FAMILIES HAVE BEEN PARTICULARLY ILL-SERVED. The Conservatives failed to fund schools and colleges adequately. Labour have done far too little to put things right.,UID11529
370519974,1.16e+07,LD 1992,1080008271,NA,None,Liberal Democrats,1992,Crowd,Administration will be easier and local accountability will be restored.,"Replace the Uniform Business Rate with Site Value Rating - locally administered and based on the taxation of land values (with exemption for agricultural land and domestic properties). This will create incentives to improve property, rather than leave it undeveloped. ADMINISTRATION WILL BE EASIER AND LOCAL ACCOUNTABILITY WILL BE RESTORED. Reform and strengthen local government. We will reform princial local councils into a unitary system based on natural communities and the wishes of local people.",UID9547
334667029,2.04e+07,Lab 1997,60007121,NA,None,Labour,1997,Crowd,"No one can escape unhealthy water, polluted air or adverse climate change.","The Department of National Heritage will develop a strategic vision that matches the real power and energy of British arts, media and cultural industries. Protecting the environment. Our generation, and generations yet to come, are dependent on the integrity of the environment. NO ONE CAN ESCAPE UNHEALTHY WATER, POLLUTED AIR OR ADVERSE CLIMATE CHANGE. And just as these problems affect us all, so we must act together to tackle them. No responsible government can afford to take risks with the future: the cost is too high.",UID1540
370520748,1.10e+07,Con 2001,1100000561,-1,Economic,Conservatives,2001,Crowd,This will provide a valuable increase of up to £20 per week in widowed parents'income.,Widows and widowers find supporting children particularly difficult. Conservatives will give extra help to all widows and widowers with dependent children by removing tax on the Widowed Mother's Allowance and the new Widowed Parent's Allowance. THIS WILL PROVIDE A VALUABLE INCREASE OF UP TO £20 PER WEEK IN WIDOWED PARENTS'INCOME. It is right to boost the incomes of families with modest earnings. We will reform the Working Families Tax Credit so it is once more paid as a benefit direct to the caring parent.,UID7432
341604887,2.08e+07,Lab 1987,30002641,-2,Economic,Labour,1987,Crowd,"We shall promote services for those with special needs, such as dial-a-ride and taxicard schemes offering cheap travel for the disabled.","Action will be taken to keep fares down. There will be good concessionary fare schemes for local travel for pensioners and people with disabilities. WE SHALL PROMOTE SERVICES FOR THOSE WITH SPECIAL NEEDS, SUCH AS DIAL-A-RIDE AND TAXICARD SCHEMES OFFERING CHEAP TRAVEL FOR THE DISABLED. We shall invest to ensure a continuing future for British Rail Engineering as a high-quality supplier both for British Rail and to world markets. A Safter Environment. The countryside and the urban areas all suffer from pollution and the misuse of the environment.",UID13974
204715541,1.19e+07,Lab 1997,60003631,0,Economic,Labour,1997,Crowd,Many of the fundamentals of the British economy are still weak.,"We see healthy profits as an essential motor of a dynamic market economy, and believe they depend on quality products, innovative entrepreneurs and skilled employees. We will build a new partnership with business to improve the competitiveness of British industry for the 21st century, leading to faster growth. MANY OF THE FUNDAMENTALS OF THE BRITISH ECONOMY ARE STILL WEAK. Low pay and low skills go together: insecurity is the consequence of economic instability; the absence of quality jobs is a product of the weakness of our industrial base;",UID14340
334667755,2.11e+07,Con 1987,10002871,-1,Economic,Conservatives,1987,Crowd,"These highly successful and popular measures have encouraged democracy within the unions, restrained the abuses of secondary action and picketing, reversed the growth of closed shops, restored the rights of redress against unions acting unlawfully and removed the immunity of unions that call a strike without a fair ballot.","That was the case with trade unions before 1979. Since then, Conservative reforms have redressed the balance between the individual and his union, preventing coercion of the majority by activists and militants. THESE HIGHLY SUCCESSFUL AND POPULAR MEASURES HAVE ENCOURAGED DEMOCRACY WITHIN THE UNIONS, RESTRAINED THE ABUSES OF SECONDARY ACTION AND PICKETING, REVERSED THE GROWTH OF CLOSED SHOPS, RESTORED THE RIGHTS OF REDRESS AGAINST UNIONS ACTING UNLAWFULLY AND REMOVED THE IMMUNITY OF UNIONS THAT CALL A STRIKE WITHOUT A FAIR BALLOT. The result has been a transformation of shopfloor relations, allowing management and workforce to co-operate to improve working practices and introduce new technology to mutual gain. In the next Parliament we will protect the rights of individual trade union members.",UID18972
204712693,8968750,Con 1997,40000691,1,Economic,Conservatives,1997,Crowd,1. Doubling Living Standards. The free market is winning the battle of ideas the world over.,"Exports account for 28% of GDP as against 9% for Japan, 11 % for USA and 24% for Germany and France. Britain's current account is broadly in balance, reflecting our increased competitiveness and improved trading. 1. DOUBLING LIVING STANDARDS. THE FREE MARKET IS WINNING THE BATTLE OF IDEAS THE WORLD OVER. From Russia to Vietnam, from China to Romania, people are realising that the socialist model has failed. This is not just an economic triumph.",UID310
24566,Sebestian,Con 2001,1100000221,NA,None,Conservatives,2001,Experts,Freedom for headteachers and governors to run their own schools.,Less tax for families. Support for marriage. FREEDOM FOR HEADTEACHERS AND GOVERNORS TO RUN THEIR OWN SCHOOLS. Power for parents to change management of failing schools. Endowed universities and less onerous student loan repayments.,UID11935
342178483,2.03e+07,Con 1987,10003931,NA,None,Conservatives,1987,Crowd,This year it will help nearly a quarter of a million people.,"Every trainee is given the opportunity of working towards a recognised qualification. The new Job Training Scheme (JTS), which started in April this year, will offer a chance to any person over 18 who has been unemployed for six months or more, who wants to work and train with an employer for a recognised qualification. THIS YEAR IT WILL HELP NEARLY A QUARTER OF A MILLION PEOPLE. Under our Community Programme, each year over 300,000 people who have been out of work for some time gain valuable experience working on community projects. They have a reference to show potential employers.",UID10478
334665397,2.10e+07,Con 1997,40001891,1,Economic,Conservatives,1997,Crowd,Those who do not find jobs are then required to work for a specific period on a community project.,"At present, Project Work is helping 100,000 people who have been unemployed for more than 2 years in cities around Britain. They are first given help in finding a job - which includes giving employers incentives to take them on. THOSE WHO DO NOT FIND JOBS ARE THEN REQUIRED TO WORK FOR A SPECIFIC PERIOD ON A COMMUNITY PROJECT. This helps them regain work habits and ensures they are available for work. As Project Work succeeds and demonstrates that its costs can be met by the savings from getting people into work, we will extend the programme to cover the long-term unemployed nationwide.",UID6576
46741,Pablo,Con 1992,1070009611,NA,None,Conservatives,1992,Experts,"Since 1979, there have been great improvements in the health of the nation.","The Government has set out in the Patient's Charter the principles on which the NHS is based. The most fundamental of these is that need, and not ability to pay, is and will remain the basis on which care is offered to all by the NHS. SINCE 1979, THERE HAVE BEEN GREAT IMPROVEMENTS IN THE HEALTH OF THE NATION. Life expectancy has increased by two years. Deaths amongst babies and very young children have gone down by 40 per cent.",UID8665
53942,Pablo,Lab 2010,1180001941,-1,Economic,Labour,2010,Experts,In the UK the new Council for Financial Stability will monitor and help address asset bubbles and financial imbalances.,"We will compel banks to keep more capital and create 'living wills' so that should they fail there will be no danger of that failure spreading. Because the banking crisis demonstrated the global nature of financial instability, we will continue to work with our international partners to require all banks to hold more and better-quality capital, to ensure counter-cyclical protection, and to introduce a global levy on financial services so that banks across the world contribute fairly to the society in which they are based. IN THE UK THE NEW COUNCIL FOR FINANCIAL STABILITY WILL MONITOR AND HELP ADDRESS ASSET BUBBLES AND FINANCIAL IMBALANCES. We will give the FSA additional powers if necessary to constrain and quash executive remuneration where it is a source of risk and instability. If there is evidence of bonus rules being evaded, we will act.",UID1398
370523675,1.93e+07,Lab 2001,1120010571,1,Economic,Labour,2001,Crowd,"People without assets are much more likely to have lower earnings and higher unemployment, and are less likely to start a business or enter higher education.","It is now time to add a fourth pillar to the welfare state a programme to extend to all children the advantages that come from reaching adulthood backed by a financial nest-egg. Nearly a third of individuals have no financial savings or assets at all. PEOPLE WITHOUT ASSETS ARE MUCH MORE LIKELY TO HAVE LOWER EARNINGS AND HIGHER UNEMPLOYMENT, AND ARE LESS LIKELY TO START A BUSINESS OR ENTER HIGHER EDUCATION. The government already encourages people to save for a rainy day and save for a pension. We are determined to extend the savings habit to more people.",UID5555
45141,Sebestian,Con 2010,1160000281,1,Economic,Conservatives,2010,Experts,People in the public services are trapped in a web of rules and regulations.,"Millions are living the misery of unemployment. Communities are shattered by crime and abuse. PEOPLE IN THE PUBLIC SERVICES ARE TRAPPED IN A WEB OF RULES AND REGULATIONS. People have lost faith that politics can fix our problems, or that politicians can lead us into a better future. There is a feeling of helplessness.",UID12647
370527928,1.51e+07,Con 2010,1160011371,NA,None,Conservatives,2010,Crowd,change the rules so that service personnel are not locked out of the voting system by rules that Labour have introduced,"maximise rest and recuperation leave ensure our servicemen and women are treated in dedicated military wards in hospital CHANGE THE RULES SO THAT SERVICE PERSONNEL ARE NOT LOCKED OUT OF THE VOTING SYSTEM BY RULES THAT LABOUR HAVE INTRODUCED use 'pupil level annual school census' data to include service children within our plans for a pupil premium in schools, ensuring they attract extra funding provide university and further education scholarships for the children of servicemen and women killed while on active duty, backdated to 1990",UID11647
370523013,2.03e+07,Lab 2001,1120003951,NA,None,Labour,2001,Crowd,Railtrack is being reformed to focus on the operation of existing track and signalling.,"Train companies will get longer franchises in return for higher investment and improved services. The SRA will lead the expansion of the network, using public-private partnerships (PPPs). RAILTRACK IS BEING REFORMED TO FOCUS ON THE OPERATION OF EXISTING TRACK AND SIGNALLING. The Rail Regulator, with strengthened powers, will ensure the delivery of higher standards, increased safety and increased investment by the company. London will benefit from new trains and reduced overcrowding on its commuter services.",UID12854
370524434,1.82e+07,Con 2005,1130000641,NA,None,Conservatives,2005,Crowd,The consequences of Labour's profligacy are now plain to see.,"Britain cannot continue indefinitely to spend more than she is earning without higher taxes or higher interest rates - either of which will harm our economic prospects. If we are to secure our future prosperity, government must once again start to live within its means. THE CONSEQUENCES OF LABOUR'S PROFLIGACY ARE NOW PLAIN TO SEE. Last year, average living standards fell for the first time in over a decade - and the poorest 10 per cent of Britons became poorer. We need to change direction.",UID11913
326878286,1.98e+07,Con 1992,1070004931,2,Economic,Conservatives,1992,Crowd,"We announced in the Budget new measures to help small businesses, including full relief against Inheritance Tax on most business assets, reductions in business rates and proposals to speed up the payment of outstanding bills.","We now propose to develop this initiative further. We also propose to help businesses by easing the transfer of commercial tenancies. WE ANNOUNCED IN THE BUDGET NEW MEASURES TO HELP SMALL BUSINESSES, INCLUDING FULL RELIEF AGAINST INHERITANCE TAX ON MOST BUSINESS ASSETS, REDUCTIONS IN BUSINESS RATES AND PROPOSALS TO SPEED UP THE PAYMENT OF OUTSTANDING BILLS. During the new Parliament, we will develop a new Enterprise Service to give small and medium-sized companies help in diagnosing their most important strategic needs. A new Consultancy Brokerage Service will supply information to small companies.",UID2941
323988796,7918256,LD 1992,1080007831,NA,None,Liberal Democrats,1992,Crowd,"6.Britain's Democracy: Electoral and Constitutional Reform. Liberal Democrats, alone in British politics, recognise that unless we change Britain's system of government, we cannot change Britain's future.","We will press the EC to coordinate international action to resolve the debt crisis, including reducing government-to-government debt, introducint regulatory and tax regimes to encourage commercial banks to reduce or write off debt, extending eligibility to IMF and World Bank loans, and encouraging, where appropriate, debt for development and debt for environment swaps. We will press for the progressive reduction of all tariff and non-tariff trade barriers, and in particular the removal of unfair trading barriers against developing countries. 6.BRITAIN'S DEMOCRACY: ELECTORAL AND CONSTITUTIONAL REFORM. LIBERAL DEMOCRATS, ALONE IN BRITISH POLITICS, RECOGNISE THAT UNLESS WE CHANGE BRITAIN'S SYSTEM OF GOVERNMENT, WE CANNOT CHANGE BRITAIN'S FUTURE. Without constitutional reform, we will not achieve our other objectives. We believe in citizenship, not subjecthood - in the ability of all individuals to exercise power over the institutions that govern their lives.",UID17174
341604998,1.27e+07,Con 1997,40006061,NA,None,Conservatives,1997,Crowd,It commands universal support in Britain.,We will promote the Private Finance Initiative which will unleash a new flow of investment funds into the modernisation of the NHS. The NHS is a British success story. IT COMMANDS UNIVERSAL SUPPORT IN BRITAIN. It is widely admired all over the world. Conservatives are proud of the part we are playing in improving the NHS still further.,UID11983
72317,Slava,Con 2010,1160001431,NA,None,Conservatives,2010,Experts,"Benchmarks for Britain. For the first time, the British people will have eight clear and transparent benchmarks against which they can judge the economic success or failure of the next government.","It needs individuals, families and businesses pulling alongside. We want to unite everyone in our country behind this bold vision of a new British economic model. BENCHMARKS FOR BRITAIN. FOR THE FIRST TIME, THE BRITISH PEOPLE WILL HAVE EIGHT CLEAR AND TRANSPARENT BENCHMARKS AGAINST WHICH THEY CAN JUDGE THE ECONOMIC SUCCESS OR FAILURE OF THE NEXT GOVERNMENT. We will be accountable and open. These are the eight Benchmarks for Britain.",UID12523
334666927,2.07e+07,Lab 1997,60001351,-1,Social,Labour,1997,Crowd,"8. We will safeguard our environment, and develop an integrated transport policy to fight congestion and pollution","6. We will be tough on crime and tough on the causes of crime, and halve the time it takes persistent juvenile offenders to come to court 7. We will help build strong families and strong communities, and lay the foundations of a modern welfare state in pensions and community care 8. WE WILL SAFEGUARD OUR ENVIRONMENT, AND DEVELOP AN INTEGRATED TRANSPORT POLICY TO FIGHT CONGESTION AND POLLUTION 9. We will clean up politics, decentralise political power throughout the United Kingdom and put the funding of political parties on a proper and accountable basis 10. We will give Britain the leadership in Europe which Britain and Europe need.",UID12667
342180288,2.10e+07,Lab 1997,60003671,1,Economic,Labour,1997,Crowd,There is no future for Britain as a low wage economy: we cannot compete on wages with countries paying a tenth or a hundredth of British wages.,"the absence of quality jobs is a product of the weakness of our industrial base; we suffer from both high unemployment and skills shortages. THERE IS NO FUTURE FOR BRITAIN AS A LOW WAGE ECONOMY: WE CANNOT COMPETE ON WAGES WITH COUNTRIES PAYING A TENTH OR A HUNDREDTH OF BRITISH WAGES. We need to win on higher quality, skill, innovation and reliability. With Labour, British and inward investors will find this country an attractive and profitable place to do business.",UID10409
370523049,6355305,Lab 2001,1120004311,NA,None,Labour,2001,Crowd,We will complete the high-speed Channel Tunnel Rail Link.,"Plans for aviation and airports over the next 30 years will be produced next year. Merchant ships are returning to the British flag. WE WILL COMPLETE THE HIGH-SPEED CHANNEL TUNNEL RAIL LINK. Major national infrastructure projects, such as Heathrow Terminal 5, raise vital issues. We will continue to modernise the planning system and introduce new fast-track procedures for major projects of national significance.",UID19462
52779,Pablo,LD 2010,1170000321,-2,Economic,Liberal Democrats,2010,Experts,Paid for in full by closing loopholes that unfairly benefit the wealthy and polluters.,"Our first priorities.  4 steps to a fairer Britain. Fair taxes that put money back in your pocket. The first £10,000 you earn tax-free: a tax cut of £700 for most people. 3.6 million low earners and pensioners freed from income tax completely. PAID FOR IN FULL BY CLOSING LOOPHOLES THAT UNFAIRLY BENEFIT THE WEALTHY AND POLLUTERS. A fair chance for every child. Ensure children get the individual attention they need by cutting class sizes. Made possible by investing £2.5 billion in schools targeted to help struggling pupils.",UID6081
